Code,Name,Median_2001,Median_2011
E01000280,Barnet 007D,35590.00,51590.00
E01000281,Barnet 008D,30210.00,38400.00
E01000282,Barnet 008E,32210.00,44570.00
E01000283,Barnet 012C,34470.00,48090.00
E01000284,Barnet 012D,28870.00,38160.00
E01000285,Barnet 004A,25850.00,35740.00
E01000286,Barnet 007E,24940.00,35180.00
E01000287,Barnet 004B,23890.00,33690.00
E01000288,Barnet 004C,26330.00,37360.00
E01000289,Barnet 004D,21790.00,30730.00
E01000290,Barnet 007F,26790.00,37640.00
E01000291,Barnet 004E,22850.00,31120.00
E01000292,Barnet 001E,27780.00,39870.00
E01000293,Barnet 001F,29960.00,43040.00
E01000294,Barnet 004F,27480.00,37780.00
E01000295,Barnet 023B,30670.00,42630.00
E01000296,Barnet 023C,30260.00,40820.00
E01000297,Barnet 027D,27450.00,37810.00
E01000298,Barnet 023D,29330.00,40500.00
E01000299,Barnet 019A,28060.00,37270.00
E01000300,Barnet 019B,29600.00,39840.00
E01000301,Barnet 020C,32290.00,47310.00
E01000302,Barnet 019C,29210.00,38020.00
E01000303,Barnet 020D,32150.00,46800.00
E01000304,Barnet 020E,30710.00,42740.00
E01000305,Barnet 036B,24370.00,31930.00
E01000306,Barnet 036C,25000.00,33650.00
E01000307,Barnet 039D,24840.00,32740.00
E01000308,Barnet 036D,21460.00,29840.00
E01000309,Barnet 031D,28230.00,39690.00
E01000310,Barnet 034C,26710.00,36760.00
E01000311,Barnet 034D,31650.00,45520.00
E01000312,Barnet 036E,23850.00,31590.00
E01000313,Barnet 036F,24800.00,32980.00
E01000314,Barnet 032F,29650.00,39470.00
E01000315,Barnet 022F,23130.00,32690.00
E01000316,Barnet 027E,28010.00,35890.00
E01000317,Barnet 019D,28630.00,38620.00
E01000318,Barnet 019E,28350.00,38780.00
E01000319,Barnet 027F,29610.00,40530.00
E01000320,Barnet 011D,29530.00,40440.00
E01000321,Barnet 012E,29260.00,38110.00
E01000322,Barnet 011E,27530.00,37200.00
E01000323,Barnet 019F,26970.00,35900.00
E01000324,Barnet 015F,27410.00,39450.00
E01033572,Barnet 030E,24230.00,32930.00
E01033573,Barnet 030F,24660.00,32750.00
E01000325,Bexley 014A,28430.00,41550.00
E01000326,Bexley 014B,26420.00,39320.00
E01000327,Bexley 017A,27930.00,39760.00
E01000328,Bexley 017B,27450.00,37910.00
E01000329,Bexley 017C,26710.00,36970.00
E01000330,Bexley 017D,25890.00,35320.00
E01000331,Bexley 017E,25400.00,34450.00
E01000332,Bexley 005A,24290.00,34560.00
E01000333,Bexley 003A,24090.00,32850.00
E01000334,Bexley 006A,25040.00,36500.00
E01000335,Bexley 003B,22350.00,32090.00
E01000336,Bexley 003C,22090.00,30950.00
E01000337,Bexley 003D,24260.00,34720.00
E01000338,Bexley 003E,24510.00,34180.00
E01000339,Bexley 025A,27710.00,39380.00
E01000340,Bexley 018A,26790.00,37740.00
E01000341,Bexley 022A,27760.00,40040.00
E01000342,Bexley 022B,27780.00,39940.00
E01000343,Bexley 022C,29020.00,40410.00
E01000344,Bexley 025B,27740.00,40310.00
E01000345,Bexley 022D,29150.00,41970.00
E01000346,Bexley 021A,27880.00,38670.00
E01000347,Bexley 021B,27160.00,37080.00
E01000348,Bexley 020A,30760.00,43920.00
E01000349,Bexley 020B,29480.00,42090.00
E01000350,Bexley 021C,28680.00,39560.00
E01000351,Bexley 024A,28280.00,39570.00
E01000352,Bexley 021D,27090.00,37710.00
E01000353,Bexley 011A,29030.00,40560.00
E01000354,Bexley 011B,26260.00,37620.00
E01000355,Bexley 011C,27840.00,38810.00
E01000356,Bexley 009A,28110.00,39560.00
E01000357,Bexley 009B,29560.00,42190.00
E01000358,Bexley 011D,28010.00,39820.00
E01000359,Bexley 009C,29740.00,41730.00
E01000360,Bexley 015A,28130.00,38760.00
E01000361,Bexley 020C,28160.00,39890.00
E01000362,Bexley 015B,27360.00,38640.00
E01000363,Bexley 020D,29260.00,40880.00
E01000364,Bexley 023A,28610.00,40010.00
E01000365,Bexley 015C,27710.00,37350.00
E01000366,Bexley 015D,27740.00,39640.00
E01000367,Bexley 010A,21930.00,31840.00
E01000368,Bexley 010B,21610.00,32150.00
E01000369,Bexley 014C,25100.00,36790.00
E01000370,Bexley 014D,26260.00,38170.00
E01000371,Bexley 014E,25320.00,37750.00
E01000372,Bexley 010C,22420.00,32340.00
E01000373,Bexley 008A,20420.00,30220.00
E01000374,Bexley 019A,21510.00,31520.00
E01000375,Bexley 019B,23470.00,34890.00
E01000376,Bexley 019C,25070.00,35610.00
E01000377,Bexley 019D,25600.00,36870.00
E01000378,Bexley 019E,24870.00,35690.00
E01000379,Bexley 019F,24960.00,36240.00
E01000380,Bexley 010D,22650.00,32330.00
E01000381,Bexley 028A,23800.00,33770.00
E01000382,Bexley 027A,29100.00,40010.00
E01000383,Bexley 028B,25480.00,35670.00
E01000384,Bexley 027B,27320.00,37190.00
E01000385,Bexley 028C,22650.00,31830.00
E01000386,Bexley 028D,22970.00,30870.00
E01000387,Bexley 027C,27400.00,37740.00
E01000388,Bexley 016A,27610.00,37910.00
E01000389,Bexley 020E,28520.00,39540.00
E01000390,Bexley 020F,27470.00,38980.00
E01000391,Bexley 021E,26230.00,36640.00
E01000392,Bexley 016B,24800.00,34400.00
E01000393,Bexley 020G,26800.00,39040.00
E01000394,Bexley 015E,27910.00,39110.00
E01000395,Bexley 018B,28710.00,39830.00
E01000396,Bexley 018C,27380.00,38550.00
