Code,Area,price_m_2001
E01000355,Bexley 011C,93000.00
E01000356,Bexley 009A,93000.00
E01000357,Bexley 009B,93000.00
E01000358,Bexley 011D,93000.00
E01000359,Bexley 009C,93000.00
E01000360,Bexley 015A,93000.00
E01000361,Bexley 020C,93250.00
E01000362,Bexley 015B,93250.00
E01000363,Bexley 020D,93475.00
E01000364,Bexley 023A,93475.00
E01000365,Bexley 015C,93497.50
E01000366,Bexley 015D,93497.50
E01000367,Bexley 010A,93500.00
E01000368,Bexley 010B,93500.00
E01000369,Bexley 014C,93500.00
E01000370,Bexley 014D,93500.00
E01000371,Bexley 014E,93500.00
E01000372,Bexley 010C,93500.00
E01000373,Bexley 008A,93500.00
E01000374,Bexley 019A,93750.00
E01000375,Bexley 019B,93875.00
E01000376,Bexley 019C,93997.50
E01000377,Bexley 019D,94000.00
E01000378,Bexley 019E,94000.00
E01000379,Bexley 019F,94000.00
E01000380,Bexley 010D,94000.00
E01000381,Bexley 028A,94000.00
E01000382,Bexley 027A,94000.00
E01000383,Bexley 028B,94000.00
E01000384,Bexley 027B,94000.00
E01000385,Bexley 028C,94000.00
E01000386,Bexley 028D,94000.00
E01000387,Bexley 027C,94045.00
E01000388,Bexley 016A,94060.00
E01000389,Bexley 020E,94250.00
E01000390,Bexley 020F,94475.00
E01000391,Bexley 021E,94497.50
E01000392,Bexley 016B,94497.50
E01000393,Bexley 020G,94500.00
E01000394,Bexley 015E,94747.50
E01000395,Bexley 018B,94750.00
E01000396,Bexley 018C,94750.00
E01000398,Bexley 029A,94900.00
E01000399,Bexley 029B,94950.00
E01000400,Bexley 029C,94975.00
E01000401,Bexley 013A,94995.00
E01000402,Bexley 005B,94995.00
E01000403,Bexley 004A,94995.00
E01000404,Bexley 004B,94995.00
E01000405,Bexley 004C,94995.00
E01000406,Bexley 005C,94997.50
E01000407,Bexley 005D,95000.00
E01000408,Bexley 004D,95000.00
E01000409,Bexley 016C,95000.00
E01000410,Bexley 018D,95000.00
E01000411,Bexley 016D,95000.00
E01000412,Bexley 018E,95000.00
E01000413,Bexley 018F,95000.00
E01000414,Bexley 016E,95000.00
E01000415,Bexley 016F,95000.00
E01000416,Bexley 002A,95000.00
E01000417,Bexley 006B,95000.00
E01000418,Bexley 002B,95000.00
E01000419,Bexley 006C,95000.00
E01000420,Bexley 006D,95000.00
E01000421,Bexley 009D,95000.00
E01000422,Bexley 002C,95000.00
E01000423,Bexley 025C,95000.00
E01000424,Bexley 026A,95000.00
E01000425,Bexley 025D,95000.00
E01000426,Bexley 026B,95000.00
E01000427,Bexley 026C,95000.00
E01000428,Bexley 027D,95000.00
E01000429,Bexley 008B,95000.00
E01000430,Bexley 008C,95000.00
E01000431,Bexley 008D,95000.00
E01000432,Bexley 008E,95000.00
E01000433,Bexley 008F,95000.00
E01000434,Bexley 008G,95100.00
E01000435,Bexley 010E,95250.00
E01000436,Bexley 011E,95497.50
E01000437,Bexley 007A,95500.00
E01000438,Bexley 007B,95551.00
E01000439,Bexley 007C,95747.50
E01000440,Bexley 007D,95750.00
E01000441,Bexley 007E,96000.00
E01000442,Bexley 006E,96000.00
E01000443,Bexley 024B,96000.00
E01000444,Bexley 023B,96000.00
E01000445,Bexley 024C,96000.00
E01000446,Bexley 024D,96000.00
E01000447,Bexley 023C,96100.00
E01000448,Bexley 023D,96372.50
E01000449,Bexley 023E,96375.00
E01000450,Bexley 009E,96500.00
E01000451,Bexley 009F,96500.00
E01000452,Bexley 009G,96500.00
E01000453,Bexley 013B,96500.00
E01000454,Bexley 013C,96747.50
E01000455,Bexley 013D,96995.00
E01000456,Bexley 013E,97000.00
E01000457,Bexley 026D,97000.00
E01000458,Bexley 027E,97000.00
E01000459,Bexley 027F,97000.00
E01000460,Bexley 022E,97000.00
E01000461,Bexley 024E,97000.00
E01000462,Bexley 026E,97000.00
E01000463,Bexley 025E,97000.00
E01000464,Bexley 002D,97000.00
E01000465,Bexley 002E,97000.00
E01000466,Bexley 001A,97000.00
E01000467,Bexley 001B,97500.00
E01000468,Bexley 001C,97500.00
E01000469,Bexley 001D,97500.00
E01000470,Bexley 002F,97500.00
E01032566,Bexley 029D,97500.00
E01000471,Brent 026A,97500.00
E01000472,Brent 029A,97750.00
E01000473,Brent 029B,97750.00
E01000474,Brent 026B,97750.00
E01000475,Brent 029C,97850.00
E01000476,Brent 026C,97995.00
E01000477,Brent 026D,97995.00
E01000478,Brent 029D,97997.50
E01000479,Brent 009A,98000.00
E01000480,Brent 006A,98000.00
E01000481,Brent 009B,98000.00
E01000482,Brent 009C,98000.00
E01000483,Brent 009D,98000.00
E01000484,Brent 006B,98000.00
E01000485,Brent 006C,98000.00
E01000486,Brent 006D,98000.00
E01000487,Brent 006E,98000.00
E01000488,Brent 022A,98000.00
E01000489,Brent 030A,98000.00
E01000490,Brent 023A,98000.00
E01000491,Brent 030B,98000.00
E01000492,Brent 030C,98250.00
E01000493,Brent 030D,98250.00
E01000494,Brent 023B,98250.00
E01000495,Brent 023C,98497.50
E01000497,Brent 011A,98500.00
E01000498,Brent 010B,98500.00
E01000499,Brent 011B,98500.00
E01000501,Brent 011C,98500.00
E01000502,Brent 011D,98500.00
E01000503,Brent 011E,98600.00
E01000504,Brent 018A,98750.00
E01000505,Brent 018B,98995.00
E01000506,Brent 014A,98997.50
E01000507,Brent 018C,99000.00
E01000508,Brent 025A,99000.00
E01000509,Brent 014B,99000.00
E01000510,Brent 014C,99000.00
E01000511,Brent 014D,99000.00
E01000512,Brent 018D,99000.00
E01000513,Brent 002A,99500.00
E01000514,Brent 002B,99500.00
E01000515,Brent 003A,99500.00
E01000516,Brent 002C,99750.00
E01000517,Brent 003B,99950.00
E01000518,Brent 005A,99950.00
E01000519,Brent 005B,99950.00
E01000520,Brent 002D,99972.50
E01000521,Brent 025B,99975.00
E01000522,Brent 025C,99975.00
E01000523,Brent 031A,99995.00
E01000524,Brent 031B,99995.00
E01000525,Brent 031C,100000.00
E01000526,Brent 025D,100000.00
E01000527,Brent 025E,100000.00
E01000528,Brent 025F,100000.00
E01000530,Brent 033A,100000.00
E01000531,Brent 033B,100000.00
E01000532,Brent 033C,100000.00
E01000533,Brent 031E,100000.00
E01000534,Brent 033D,100000.00
E01000535,Brent 031F,100000.00
E01000536,Brent 004A,100000.00
E01000538,Brent 004B,100000.00
E01000539,Brent 004C,100000.00
E01000540,Brent 004D,100000.00
E01000541,Brent 004E,100000.00
E01000543,Brent 003E,100000.00
